time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-13T14:35:18.290Z,26.7927,62.5102,42.48,4.5,mb,,106,4.99,0.77,us,us20002f03,2015-07-17T07:06:15.040Z,"102 km NNW of Turbat, Pakistan",earthquake,7.8,4.4,0.113,23,reviewed,us,us
2015-05-04T11:30:35.320Z,26.2984,61.1388,10,4.8,mb,,52,4.653,0.56,us,us20002b5q,2022-05-03T17:21:06.813Z,"38 km E of Qa?r-e Qand, Iran",earthquake,7.9,1.9,0.053,123,reviewed,us,us
2015-05-03T20:43:38.380Z,25.0885,62.8187,30.99,4.3,mb,,171,6.002,1.01,us,us20002b12,2015-07-09T22:00:08.040Z,"49 km E of Gwadar, Pakistan",earthquake,7.7,6.5,0.113,22,reviewed,us,us
2015-03-28T17:03:51.890Z,27.1138,61.2727,53.89,4.3,mb,,150,1.67,0.41,us,us10001t5d,2015-06-12T01:53:26.040Z,"59 km E of Iranshahr, Iran",earthquake,9.1,7.5,0.178,14,reviewed,us,us
2014-01-30T16:01:47.280Z,25.1147,62.7566,30.97,4.6,mb,,96,4.205,0.89,us,usc000mdna,2014-04-08T01:43:17.000Z,"43 km E of Gwadar, Pakistan",earthquake,,5.1,0.07,64,reviewed,us,us
2014-01-06T01:39:41.000Z,27.08,61.81,10,4,mb,,,,2.22,us,usb000m64c,2014-03-07T00:26:00.000Z,"112 km E of Iranshahr, Iran",earthquake,,1.9,0.182,8,reviewed,teh,us
2013-12-27T08:06:35.100Z,26.7,61.17,10,4.1,mb,,,,1.9,us,usc000m05e,2014-02-28T08:44:09.000Z,"65 km NE of Qa?r-e Qand, Iran",earthquake,,5.3,0.234,,reviewed,teh,us
2013-12-20T18:12:04.610Z,27.9698,62.5908,58.46,4.4,mb,,96,5.303,1.13,us,usc000lvr2,2014-02-27T21:37:24.000Z,"137 km ESE of Kh?sh, Iran",earthquake,,4.3,0.103,,reviewed,us,us
2013-11-10T13:38:22.210Z,25.0395,62.8088,30.79,4.2,mb,,126,4.216,0.74,us,usb000kz2a,2014-01-17T00:29:15.000Z,"49 km E of Gwadar, Pakistan",earthquake,,4.6,0.136,,reviewed,us,us
2013-09-30T03:44:50.800Z,27,60.42,15.5,4.6,mb,,,,1.4,us,usb000k2gb,2013-12-13T09:00:37.000Z,"34 km SW of Iranshahr, Iran",earthquake,,3.6,0.079,,reviewed,thr,us
