time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-18T21:14:47.316Z,35.3767,70.7366,82.48,4.6,mb,,40,1.621,0.61,us,us7000aqzx,2020-09-26T16:58:37.040Z,"17 km WSW of P?r?n, Afghanistan",earthquake,5.1,6.1,0.06,82,reviewed,us,us
2020-07-06T16:06:23.560Z,34.5903,69.0436,9.82,4.4,mb,,89,0.049,0.77,us,us7000aiuv,2020-09-11T22:14:21.040Z,"8 km E of Paghm?n, Afghanistan",earthquake,5.6,4.9,0.124,19,reviewed,us,us
2020-06-24T13:49:23.892Z,33.4991,71.4493,10,4.3,mb,,99,2.252,1.02,us,us7000afqt,2020-09-05T17:35:39.040Z,"9 km S of Kohat, Pakistan",earthquake,6,1.9,0.111,23,reviewed,us,us
2020-05-27T05:31:38.205Z,34.2918,71.0348,10,4.2,mb,,168,1.665,1.25,us,us60009ztl,2020-08-15T20:19:35.040Z,"13 km WSW of Shinpokh, Pakistan",earthquake,8.9,2,0.175,9,reviewed,us,us
2020-05-24T22:30:51.478Z,34.2803,70.1664,28.53,4.5,mb,,86,0.964,0.82,us,us70009ppe,2020-08-08T18:17:56.040Z,"30 km WSW of Jal?l?b?d, Afghanistan",earthquake,3.9,5.1,0.111,24,reviewed,us,us
2020-05-24T19:15:36.840Z,35.9955,70.9331,90.3,4.5,mb,,85,2.12,0.75,us,us70009pkj,2020-08-08T18:17:56.040Z,"63 km N of P?r?n, Afghanistan",earthquake,3.3,6.7,0.06,82,reviewed,us,us
2020-05-18T08:26:07.753Z,34.4604,68.9654,10,4.3,mb,,74,0.102,0.54,us,us70009k2j,2020-08-02T00:28:56.040Z,"11 km NE of Maydanshakhr, Afghanistan",earthquake,4.9,1.9,0.147,13,reviewed,us,us
2020-04-04T08:29:22.470Z,34.9652,71.3367,78.77,4,mb,,129,1.935,0.34,us,us70008nha,2020-06-21T00:54:57.040Z,"7 km SSW of ?sm?r, Afghanistan",earthquake,4.5,17.5,0.232,5,reviewed,us,us
2020-02-28T05:50:18.394Z,35.2945,71.8197,58.81,4.5,mb,,84,2.03,0.92,us,us600085v8,2020-05-19T22:14:05.040Z,"10 km NNW of Upper Dir, Pakistan",earthquake,6.2,6.4,0.088,38,reviewed,us,us
2020-02-04T05:05:34.413Z,34.547,70.5826,10,4.4,mb,,143,1.27,1.12,us,us60007p4i,2020-04-18T22:10:23.040Z,"17 km NE of Jal?l?b?d, Afghanistan",earthquake,5.9,1.3,0.114,22,reviewed,us,us
2020-01-07T15:09:03.481Z,35.6192,70.1051,103.51,4,mb,,93,1.384,0.43,us,us70006vru,2020-03-21T17:13:41.040Z,"63 km ENE of B?z?rak, Afghanistan",earthquake,7.9,12.4,0.232,7,reviewed,us,us
2019-12-18T14:09:17.268Z,33.5899,71.63,46.36,4.5,mb,,91,1.368,0.69,us,us60006t6q,2021-06-23T01:28:30.664Z,"16 km E of Kohat, Pakistan",earthquake,6.2,6.3,0.081,52,reviewed,us,us
2019-10-12T15:21:27.114Z,35.6919,70.0143,104.81,4.2,mb,,89,1.397,0.52,us,us70005vkt,2019-12-28T20:46:21.040Z,"61 km NE of B?z?rak, Afghanistan",earthquake,4.8,11.9,0.305,3,reviewed,us,us
2019-09-29T02:17:31.538Z,35.9731,70.2323,104.86,4.5,mb,,83,1.728,0.97,us,us70005s40,2019-12-20T19:04:31.040Z,"74 km SSE of Farkh?r, Afghanistan",earthquake,7.1,10.1,0.191,9,reviewed,us,us
2019-08-30T22:28:33.115Z,35.9391,69.6249,131.05,4.1,mb,,81,1.474,0.71,us,us70005af3,2019-11-15T17:20:41.040Z,"46 km ESE of Nahr?n, Afghanistan",earthquake,7.1,15.5,0.262,4,reviewed,us,us
2019-08-29T02:24:46.391Z,35.6339,70.0143,28.11,4.5,mb,,91,1.35,0.96,us,us700059gf,2019-11-15T17:19:51.040Z,"57 km NE of B?z?rak, Afghanistan",earthquake,4.9,6.5,0.104,27,reviewed,us,us
2019-07-25T23:00:44.212Z,33.9937,71.7561,10,4.2,mb,,180,1.304,0.83,us,us60004ymn,2019-10-11T20:12:31.040Z,"3 km WSW of Pabbi, Pakistan",earthquake,7.4,2,0.305,3,reviewed,us,us
2019-06-09T02:36:53.562Z,32.7729,71.2286,35,4.2,mb,,158,1.921,1.23,us,us70003xdg,2019-08-27T17:47:58.040Z,"14 km WSW of Kamar Mushani, Pakistan",earthquake,6.2,2,0.107,24,reviewed,us,us
2019-03-05T15:26:45.480Z,35.99,70.2753,113.76,4.3,mb,,83,1.158,0.92,us,us1000jaui,2019-05-24T21:21:06.040Z,"74 km SSE of Farkh?r, Afghanistan",earthquake,7.4,11.2,0.201,7,reviewed,us,us
2018-12-04T15:28:46.790Z,34.3875,70.49,65.03,4.2,mb,,171,1.205,1.16,us,us1000i1yc,2019-02-16T19:52:19.040Z,"Hindu Kush region, Afghanistan",earthquake,8,9,0.16,11,reviewed,us,us
2018-11-28T14:44:25.390Z,35.8078,68.6867,21.76,4.9,mww,,36,1.297,0.83,us,us1000hxf5,2020-07-10T16:01:53.057Z,"15 km S of Pul-e Khumr?, Afghanistan",earthquake,6.1,4.4,0.073,18,reviewed,us,us
2018-11-13T20:00:38.000Z,35.5051,69.6289,99.45,4.8,mb,,73,1.075,0.97,us,us1000hrch,2019-02-21T20:57:53.429Z,"23 km NNE of B?z?rak, Afghanistan",earthquake,5.2,2.7,0.057,95,reviewed,us,us
2018-11-11T01:35:47.690Z,32.1754,69.6953,46.98,4,mb,,205,2.421,1.12,us,us1000hqhi,2019-01-21T16:42:58.040Z,"17 km SE of Wana, Pakistan",earthquake,11.3,9.3,0.144,13,reviewed,us,us
2018-10-06T22:15:35.250Z,35.9569,70.5288,102.9,4.5,mb,,86,1.167,0.98,us,us1000h89r,2018-12-14T20:32:43.040Z,"69 km NNW of P?r?n, Afghanistan",earthquake,5.5,7.2,0.098,30,reviewed,us,us
2018-08-28T16:23:46.270Z,35.6415,68.3914,77.85,4.1,mb,,140,1.221,0.55,us,us1000gizf,2018-11-07T18:37:03.040Z,"Hindu Kush region, Afghanistan",earthquake,6.5,16.2,0.233,5,reviewed,us,us
2018-08-03T23:09:23.970Z,34.4885,70.9806,35,4,mb,,160,1.6,1.18,us,us1000g33m,2018-10-16T15:34:12.040Z,"25 km NW of Shinpokh, Pakistan",earthquake,7.5,2,0.211,6,reviewed,us,us
2018-08-02T02:52:31.880Z,32.1295,69.0925,47.17,4.5,mb,,99,2.405,0.64,us,us1000g1ip,2018-10-16T15:34:14.040Z,"48 km WSW of Wana, Pakistan",earthquake,9,6.8,0.058,89,reviewed,us,us
2018-06-24T19:13:39.110Z,35.572,69.7237,102.21,4.1,mb,,86,1.17,0.92,us,us1000f0gg,2018-09-19T15:15:58.040Z,"34 km NNE of B?z?rak, Afghanistan",earthquake,5.2,11.2,0.213,6,reviewed,us,us
2018-06-06T18:05:14.530Z,35.3615,69.6349,103.28,4.1,mb,,89,0.952,0.58,us,us1000eju5,2018-08-29T16:34:39.040Z,"12 km ENE of B?z?rak, Afghanistan",earthquake,3.7,6.7,0.175,9,reviewed,us,us
2018-05-28T19:19:42.540Z,32.9691,68.5616,39.96,4.6,mb,,114,1.618,0.96,us,us1000edil,2018-08-28T16:27:53.040Z,"17 km NE of Zargh?n Shahr, Afghanistan",earthquake,7.7,6.9,0.046,144,reviewed,us,us
2018-05-09T03:23:26.710Z,33.1351,70.5177,19.35,5.4,mb,,49,1.863,0.66,us,us1000e15a,2022-05-03T19:56:38.758Z,"18 km NNW of Bannu, Pakistan",earthquake,7.3,3.6,0.032,342,reviewed,us,us
2018-05-08T18:17:55.720Z,32.975,68.5817,39.5,4.8,mb,,72,1.608,0.67,us,us1000e0u7,2018-08-08T15:19:37.040Z,"19 km NE of Zargh?n Shahr, Afghanistan",earthquake,7.8,6.3,0.039,205,reviewed,us,us
2018-05-08T10:42:51.040Z,35.8489,69.8876,143.96,4.1,mb,,152,1.389,1.2,us,us1000e0ku,2018-08-08T15:19:29.040Z,"68 km NNE of B?z?rak, Afghanistan",earthquake,9.4,10.3,0.165,10,reviewed,us,us
2018-04-23T00:18:52.520Z,33.2068,71.2581,37.54,4.3,mb,,157,1.738,1.08,us,us1000dqfs,2018-07-25T21:35:52.040Z,"18 km ENE of Karak, Pakistan",earthquake,8.9,7.1,0.098,29,reviewed,us,us
