time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-22T09:07:10.570Z,29.01,66.4136,10.0,4.4,mb,,97.0,5.951,1.19,us,us1000hvcm,2019-02-02T20:02:28.040Z,"17 km W of Kalat, Pakistan",earthquake,8.1,1.9,0.102,28.0,reviewed,us,us
2018-07-19T19:33:26.480Z,30.3549,66.4482,10.0,4.2,mb,,87.0,4.714,1.11,us,us2000g94a,2018-10-04T14:15:23.040Z,"54 km WNW of Kot Malik Barkhurdar, Pakistan",earthquake,6.7,1.9,0.101,27.0,reviewed,us,us
2018-06-27T16:53:38.200Z,30.2701,66.5443,24.88,4.1,mb,,135.0,4.753,1.05,us,us1000f3fl,2018-09-21T16:25:46.040Z,"43 km W of Kot Malik Barkhurdar, Pakistan",earthquake,8.1,7.6,0.157,11.0,reviewed,us,us
2018-06-19T10:53:45.020Z,28.1275,65.9091,10.0,4.5,mb,,109.0,6.932,0.69,us,us1000eyqu,2018-09-19T15:15:54.040Z,"53 km SW of Surab, Pakistan",earthquake,9.1,1.9,0.181,9.0,reviewed,us,us
2018-03-31T17:46:11.980Z,29.9977,67.8161,21.11,4.2,mb,,110.0,4.647,1.14,us,us2000dvkt,2018-06-22T21:32:18.040Z,"16 km SW of Harnai, Pakistan",earthquake,9.7,5.7,0.112,22.0,reviewed,us,us
2017-11-07T18:58:50.870Z,29.4443,66.4555,17.62,5.0,mb,,97.0,5.536,0.88,us,us2000bjyb,2018-01-31T03:04:42.040Z,"43 km ESE of Nushki, Pakistan",earthquake,8.0,4.2,0.052,118.0,reviewed,us,us
2017-08-13T08:36:06.470Z,28.1839,66.4679,26.95,4.1,mb,,118.0,6.708,0.53,us,us2000a7rx,2017-11-14T01:42:05.040Z,"39 km SSE of Surab, Pakistan",earthquake,7.4,7.5,0.127,18.0,reviewed,us,us
2017-04-22T19:37:36.290Z,29.6292,67.3731,17.83,4.3,mb,,97.0,5.098,0.98,us,us10008jtj,2017-07-11T01:48:41.040Z,"26 km S of Mach, Pakistan",earthquake,8.8,4.6,0.103,27.0,reviewed,us,us
2017-03-24T01:23:31.050Z,29.1084,67.1771,18.04,4.9,mb,,37.0,5.643,0.88,us,us20008u6b,2022-05-03T18:14:57.896Z,"57 km E of Kalat, Pakistan",earthquake,6.6,3.8,0.046,147.0,reviewed,us,us
2016-08-31T00:13:21.110Z,29.5323,66.5881,17.84,4.1,mb,,166.0,5.411,1.18,us,us10006iwz,2016-11-29T01:28:47.040Z,"38 km SW of Mastung, Pakistan",earthquake,6.4,5.9,0.185,8.0,reviewed,us,us
2016-08-27T14:46:39.600Z,28.9937,66.1668,10.0,4.2,mb,,278.0,6.048,0.75,us,us20006uk7,2016-11-29T01:28:42.040Z,"41 km W of Kalat, Pakistan",earthquake,8.4,2.0,0.264,4.0,reviewed,us,us
